Date,Rh1,Rh2,Tmax,Tmin,Rainfall
4/3/2000,63.4,41.6,31.1,11.3,0
4/4/2000,81.6,31.5,31.7,10.7,0
4/5/2000,56.5,27.3,31.7,9.6,0
4/6/2000,64.5,24.4,30.2,9.4,0
4/7/2000,61.7,27.4,30.5,9.8,0
4/8/2000,75.5,32.8,31.2,9.2,0
4/9/2000,68.7,37,30.7,10.4,0
4/10/2000,67.6,46.3,28.6,8.7,0
4/11/2000,68.5,40.2,29.5,10,0
4/12/2000,75.9,54.7,29.5,11,0
4/13/2000,67.2,51.9,28.5,12.3,T
4/14/2000,73.5,66.4,26,13.3,4.9
4/15/2000,71,51,27.4,12.6,23
4/16/2000,61.2,58.1,28.6,13.5,0
4/17/2000,80.8,61,28.5,12,T
4/18/2000,64.3,54,29.5,11.2,0.4
4/19/2000,74.8,61.4,27.3,13.4,0.6
4/20/2000,75.7,67.1,27.9,13,0
4/21/2000,89.6,86.9,27.4,14,0
4/22/2000,83.2,56.2,28.7,12.1,0
4/23/2000,66.6,30.4,30.6,13.5,0
4/24/2000,84.6,54.7,25.6,13.4,0
4/25/2000,72.5,65.7,25.5,13.4,0
4/26/2000,81.4,61.1,26,13.6,1.8
4/27/2000,86.7,66.2,26.5,15,T
4/28/2000,78.9,56.1,28.5,15,T
4/29/2000,75.8,37.6,30,13.5,0
4/30/2000,62.1,48.2,28.9,12.6,T
5/1/2000,72.4,84.4,29.7,15,25.2
5/2/2000,65.9,51.1,29.6,13,16
5/3/2000,80.5,57.1,28.4,15,T
5/4/2000,86.8,59.9,27.9,17.7,14.4
5/5/2000,72.6,66.5,29.4,17,T
5/6/2000,59.5,85.7,29.2,17.3,0
5/7/2000,97.9,57.9,25.7,15,18.8
5/8/2000,77.4,63,28,13.1,0
5/9/2000,75.4,64.8,28.1,15.6,3.6
5/10/2000,82.8,61.8,28.5,16,5.6
5/11/2000,74.4,57.1,31.5,16.5,27
5/12/2000,74.4,58.9,31.6,19.4,0.2
5/13/2000,67.1,44.7,30.7,19,0
5/14/2000,67.9,62.8,32.3,15,4.8
5/15/2000,67.1,60.2,31.5,16.5,0.4
5/16/2000,91,86,27,17.8,0.7
5/17/2000,78.6,64.2,31,17.4,0
